,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
52,98033,2,,3,3,3,5,5,3,2,3,4,4,2,2,1,3,2,1,2,1,2,1,2,1.0,2,2,2,1,3,1.0,1,3,1,2.0,2,2,2,4,2,2,3,3,2,2,1,2,1,2,1,2,2,2,1,1,2,1,25,1,3,2,3,1,2.0,0.533364477,,,,,2018,6,17
53,98034,1,1.0,4,3,3,3,3,3,1,3,3,3,3,2,1,3,2,1,1,1,1,2,1,1.0,2,2,1,1,2,1.0,1,1,1,1.0,1,4,4,2,4,4,4,4,2,2,1,1,1,1,1,2,1,1,1,1,2,2,45,2,3,3,2,1,2.0,0.765719225,,,,,2018,6,17
54,98115,2,,5,5,5,2,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,3,2,2.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,74,4,3,1,1,1,2.0,0.769112058,,,,,2018,6,17
55,98105,2,,3,4,3,5,1,2,1,3,4,3,3,2,2,3,2,1,1,1,3,2,3,1.0,1,1,3,1,3,1.0,2,2,1,3.0,2,2,3,2,3,3,4,3,1,1,1,1,1,1,1,2,2,2,1,1,2,2,25,1,3,4,2,1,1.0,0.527640133,,,,,2018,6,17
56,98125,1,1.0,1,2,5,1,2,3,1,3,3,1,2,2,1,2,1,1,1,1,4,1,2,1.0,2,2,2,1,1,1.0,1,1,1,1.0,2,2,2,1,2,3,4,4,2,2,2,2,2,1,1,2,2,2,2,1,2,2,29,1,3,1,3,1,1.0,0.521126057,,,,,2018,6,17
57,98011,1,1.0,1,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,59,3,3,1,1,1,2.0,0.576568044,,,,,2018,6,17
58,98031,2,,5,5,5,5,5,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,3,3.0,2,3,2,3,2,3.0,2,2,3,3.0,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,62,3,4,2,1,1,2.0,1.183395563,,,,,2018,6,17
59,98003,2,,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,2,1,1,2,2,1.0,2,3,2,1,3,3.0,3,3,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,57,3,3,3,5,1,2.0,1.751599122,,,,,2018,6,17
60,98072,2,,2,3,5,2,3,3,2,3,3,3,2,2,1,3,1,1,1,1,1,2,3,3.0,2,2,3,3,2,1.0,2,2,2,2.0,2,4,2,3,4,4,3,3,2,2,1,2,1,1,2,2,2,1,1,1,2,2,32,1,3,3,3,1,2.0,0.521126057,,,,,2018,6,17
61,98115,1,1.0,5,5,5,5,5,3,1,3,4,3,2,2,1,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,49,2,3,2,2,1,1.0,0.765719225,,,,,2018,6,17
