,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
164,164,98032,1,1.0,5,5,5,2,5,4,2,3,4,3,2,1,2,2,2,2,1,1,2,2,2,1.0,2,2,2,3,2,1.0,2,2,1,2.0,2,4,4,4,3,3,4,4,1,1,2,1,1,2,1,1,1,2,1,1,2,2,25,1,3,2,1,1,1.0,0.514611982,,,,,2018,6,17
167,167,98104,1,6.0,3,3,3,2,3,3,2,4,4,5,5,5,3,5,1,1,1,1,1,5,2,1.0,2,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,20,1,3,2,5,1,1.0,2.947434931,,,,,2018,6,17
168,168,98198,1,3.0,1,1,3,2,4,5,1,2,3,4,2,1,1,2,1,1,1,2,3,2,2,1.0,2,2,3,3,3,3.0,2,2,1,2.0,2,2,3,2,3,2,4,5,1,1,1,1,1,1,1,2,1,2,1,1,2,2,25,1,3,3,2,1,1.0,0.527640133,,,,,2018,6,17
173,173,98119,1,1.0,5,5,5,2,5,3,2,3,3,3,2,2,3,2,2,1,1,1,1,1,3,2.0,2,2,2,3,2,2.0,2,2,1,2.0,2,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,30,1,1,2,2,2,1.0,0.838384123,,,,,2018,6,17
178,178,98105,3,,1,1,4,2,1,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1.0,3,1,1,1,1,1.0,1,1,1,2.0,2,3,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,23,1,4,2,1,2,1.0,0.758993357,,,,,2018,6,17
184,184,98034,1,1.0,5,5,6,3,5,3,1,4,4,4,1,1,1,2,2,1,1,1,2,1,2,1.0,3,3,1,3,1,1.0,3,2,1,2.0,2,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,1,3,3,2,1,2.0,0.527640133,,,,,2018,6,18
188,188,98104,1,1.0,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1.0,1,2,3,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,28,1,3,4,3,1,1.0,0.533364477,,,,,2018,6,18
191,191,98109,1,1.0,6,3,4,1,5,3,3,3,3,3,1,1,1,1,1,1,2,1,1,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,1,2,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,25,1,3,3,1,1,1.0,0.514611982,,,,,2018,6,18
193,193,98105,2,,3,3,5,5,1,2,2,3,3,2,3,2,2,3,2,1,1,1,1,3,2,1.0,2,2,2,1,2,2.0,2,2,1,1.0,2,4,2,1,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,1,2,2,25,1,4,4,1,1,1.0,0.527717281,,,,,2018,6,18
198,199,98118,1,4.0,2,2,1,2,1,3,4,3,3,4,1,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,1,2,2.0,2,2,2,2.0,2,3,3,3,3,1,2,3,2,2,2,1,1,1,2,2,2,1,1,1,2,2,22,1,2,2,3,2,2.0,0.297089994,,,,,2018,6,18
